Disease,Disease Details,Filter m/f,Country,CountryCode,Year2000,LEYear2000,GDPYear2000,Year2001,LEYear2001,GDPYear2001,GDPYear2002,Year2002,LEYear2002,GDPYear2003,Year2003,LEYear2003,GDPYear2004,Year2004,LEYear2004,GDPYear2005,Year2005,LEYear2005,GDPYear2006,Year2006,LEYear2006,GDPYear2007,Year2007,LEYear2007,GDPYear2008,Year2008,LEYear2008,GDPYear2009,Year2009,LEYear2009,GDPYear2010,Year2010,LEYear2010,GDPYear2011,Year2011,LEYear2011,GDPYear2012,Year2012,LEYear2012,GDPYear2013,Year2013,LEYear2013,GDPYear2014,Year2014,LEYear2014,GDPYear2015,Year2015,LEYear2015,GDPYear2016,Year2016,LEYear2016
Neoplasms,Leukemia,Number of total deaths,Australia,AU,1363,79.7,539799.4,1364,80,568862.9,599770.3,1441,80.3,636095.4,1384,80.6,675258.7,1445,80.9,719165.7,,81.1,774486.9,1442,81.4,826249.3,1472,81.5,851398.1,1501,81.6,900317.6,1597,81.8,938600.8,1639,82,987220.2,1630,82.1,991827.9,1626,82.2,1098874.1,1645,82.4,1108212.4,1706,82.5,1131510.1,,,1184472,,
Neoplasms,Leukemia,Number of total deaths,Austria,AT,607,78.7,234747.6,687,78.8,239060.6,251504.1,669,78.7,259781.7,694,79.3,274981.9,726,79.4,286878.4,695,80,309706.2,711,80.3,324775.6,724,80.5,341669.2,737,80.4,339610,707,80.7,350482.9,743,81.1,371229.2,758,81,389747.1,739,81.2,404650.5,760,81.6,415257.1,740,81.3,426645.4,,,438191.7,,
Neoplasms,Leukemia,Number of total deaths,Belgium,BE,814,78.1,286696.1,852,78.2,298566.7,314971.9,899,78.2,322227.1,878,79,336193.9,865,79.1,349277,873,79.5,373467.6,876,79.9,391644.1,836,79.8,408408.9,1001,80.1,410781.5,937,80.3,437233.6,974,80.7,455705,893,80.5,471332.6,956,80.7,485918.5,1016,81.4,502107.2,980,81.1,514198.4,,,527027.6,,
Neoplasms,Leukemia,Number of total deaths,Canada,CA,2048,79.2,898024.6,2093,79.4,934754.4,967558.8,2077,79.6,1019620.7,2303,79.8,1079987.1,2256,80,1167581.3,2255,80.3,1238000.9,2281,80.4,1297164.6,2300,80.6,1339060.6,2395,80.8,1304488.4,2463,81.1,1361136.5,2373,81.3,1427466.2,2506,81.5,1464565.1,2642,81.7,1550270.4,,,1602420.4,,,1584685.9,,,1630347.2,,
Neoplasms,Leukemia,Number of total deaths,Chile,CL,516,76.8,146960.7,579,77.2,155221.8,161844.4,581,77.2,171298.8,610,77.2,188358.1,583,77.6,206427.4,580,78,254577.4,607,77.5,277257.6,621,78.1,273618.8,611,78.2,273085.4,599,78,310516.8,625,78.7,348602.3,651,78.7,371592.6,695,79.5,392442.7,759,79.7,403051.8,756,79.1,415861.4,,79.2,425638.7,,
Neoplasms,Leukemia,Number of total deaths,Czech Republic,CZ,916,75.3,165438.5,898,75.4,179364.9,184989.3,846,75.3,197368.2,878,75.8,211909.5,906,76.1,223723.5,832,76.7,243192.3,846,77,268368.9,794,77.3,288526.9,816,77.4,287910.1,812,77.7,289714.5,803,78,302260.2,853,78.2,305309.4,884,78.3,320535.1,899,78.9,340575.3,889,78.7,355857.7,836,,369881.8,,
Neoplasms,Leukemia,Number of total deaths,Denmark,DK,453,77,152926.9,414,77.1,158176.4,164720.4,488,77.4,165945.7,410,77.8,177981.5,432,78.3,185074.4,461,78.4,202903.3,434,78.4,212740.5,510,78.8,226767.5,457,79,223027.8,441,79.3,239009.5,442,79.9,247352.3,510,80.1,250524.6,439,80.4,262368.1,476,80.8,269789.6,456,80.8,278381.5,,,286287.5,,
Neoplasms,Leukemia,Number of total deaths,Estonia,EE,93,70.9,13151.2,106,71.4,14334.3,15987.5,104,71.8,17907,107,72.4,19661.1,124,72.9,22375.7,125,73.1,25951.8,133,73.2,29435.5,153,74.2,30303.9,135,75.2,27388.7,117,75.9,28791.1,116,76.4,32579.4,126,76.5,34419.8,145,77.3,36158.6,146,77.2,37521.4,124,77.7,38076.8,,,39165.9,,
Neoplasms,Leukemia,Number of total deaths,Finland,FI,334,78.2,138372,332,78.3,144404.8,148566.4,300,78.5,151089.7,329,79,162806,317,79.1,167840.5,335,79.5,181069,325,79.6,199323.1,327,79.9,212373.3,339,80.1,202176.2,318,80.2,208164.1,310,80.6,219213.9,342,80.7,219916.5,303,81.1,224594.3,338,81.3,226716.9,364,81.6,231648.5,,,236844,,
Neoplasms,Leukemia,Number of total deaths,France,FR,5046,79.3,1595459.9,5278,79.4,1698365,1770065.4,5212,79.3,1758832.6,5336,80.3,1829067.8,5167,80.4,1933507,5362,81,2070453.4,5376,81.2,2186192.7,5517,81.4,2263191.8,5440,81.5,2249679.8,5591,81.8,2342745,5542,82.3,2447562.9,5690,82.1,2471783.2,5829,82.3,2606140.9,5878,82.8,2658465.9,,82.4,2726977.7,,,2796494.3,,
