Disease,Disease Details,Filter m/f,Country,Year2000,LEYear2000,GDPYear2000,Year2001,LEYear2001,GDPYear2001,GDPYear2002,Year2002,LEYear2002,GDPYear2003,Year2003,LEYear2003,GDPYear2004,Year2004,LEYear2004,GDPYear2005,Year2005,LEYear2005,GDPYear2006,Year2006,LEYear2006,GDPYear2007,Year2007,LEYear2007,GDPYear2008,Year2008,LEYear2008,GDPYear2009,Year2009,LEYear2009,GDPYear2010,Year2010,LEYear2010,GDPYear2011,Year2011,LEYear2011,GDPYear2012,Year2012,LEYear2012,GDPYear2013,Year2013,LEYear2013,GDPYear2014,Year2014,LEYear2014,GDPYear2015,Year2015,LEYear2015,GDPYear2016,Year2016,LEYear2016
Certain infectious and parasitic diseases,Tuberculosis,Number of total deaths,Australia,54,79.7,539799.4,86,80,568862.9,599770.3,67,80.3,636095.4,53,80.6,675258.7,63,80.9,719165.7,,81.1,774486.9,58,81.4,826249.3,52,81.5,851398.1,64,81.6,900317.6,57,81.8,938600.8,55,82,987220.2,55,82.1,991827.9,35,82.2,1098874.1,51,82.4,1108212.4,46,82.5,1131510.1,,,1184472,,
Certain infectious and parasitic diseases,Tuberculosis,Number of total deaths,Austria,71,78.7,234747.6,55,78.8,239060.6,251504.1,66,78.7,259781.7,45,79.3,274981.9,45,79.4,286878.4,54,80,309706.2,56,80.3,324775.6,47,80.5,341669.2,49,80.4,339610,47,80.7,350482.9,38,81.1,371229.2,54,81,389747.1,41,81.2,404650.5,66,81.6,415257.1,69,81.3,426645.4,,,438191.7,,
Certain infectious and parasitic diseases,Tuberculosis,Number of total deaths,Belgium,102,78.1,286696.1,100,78.2,298566.7,314971.9,81,78.2,322227.1,92,79,336193.9,72,79.1,349277,88,79.5,373467.6,59,79.9,391644.1,84,79.8,408408.9,76,80.1,410781.5,58,80.3,437233.6,57,80.7,455705,50,80.5,471332.6,56,80.7,485918.5,53,81.4,502107.2,39,81.1,514198.4,,,527027.6,,
Certain infectious and parasitic diseases,Tuberculosis,Number of total deaths,Canada,138,79.2,898024.6,145,79.4,934754.4,967558.8,143,79.6,1019620.7,129,79.8,1079987.1,102,80,1167581.3,129,80.3,1238000.9,125,80.4,1297164.6,127,80.6,1339060.6,131,80.8,1304488.4,84,81.1,1361136.5,90,81.3,1427466.2,98,81.5,1464565.1,94,81.7,1550270.4,,,1602420.4,,,1584685.9,,,1630347.2,,
Certain infectious and parasitic diseases,Tuberculosis,Number of total deaths,Chile,528,76.8,146960.7,614,77.2,155221.8,161844.4,601,77.2,171298.8,616,77.2,188358.1,654,77.6,206427.4,599,78,254577.4,591,77.5,277257.6,538,78.1,273618.8,438,78.2,273085.4,473,78,310516.8,536,78.7,348602.3,456,78.7,371592.6,480,79.5,392442.7,471,79.7,403051.8,377,79.1,415861.4,,79.2,425638.7,,
Certain infectious and parasitic diseases,Tuberculosis,Number of total deaths,Czech Republic,125,75.3,165438.5,94,75.4,179364.9,184989.3,83,75.3,197368.2,81,75.8,211909.5,69,76.1,223723.5,69,76.7,243192.3,61,77,268368.9,70,77.3,288526.9,53,77.4,287910.1,51,77.7,289714.5,39,78,302260.2,55,78.2,305309.4,30,78.3,320535.1,66,78.9,340575.3,39,78.7,355857.7,56,,369881.8,,
Certain infectious and parasitic diseases,Tuberculosis,Number of total deaths,Denmark,38,77,152926.9,38,77.1,158176.4,164720.4,35,77.4,165945.7,26,77.8,177981.5,38,78.3,185074.4,26,78.4,202903.3,21,78.4,212740.5,25,78.8,226767.5,16,79,223027.8,26,79.3,239009.5,33,79.9,247352.3,15,80.1,250524.6,21,80.4,262368.1,15,80.8,269789.6,12,80.8,278381.5,,,286287.5,,
Certain infectious and parasitic diseases,Tuberculosis,Number of total deaths,Estonia,106,70.9,13151.2,99,71.4,14334.3,15987.5,88,71.8,17907,95,72.4,19661.1,100,72.9,22375.7,51,73.1,25951.8,67,73.2,29435.5,63,74.2,30303.9,55,75.2,27388.7,49,75.9,28791.1,41,76.4,32579.4,45,76.5,34419.8,35,77.3,36158.6,25,77.2,37521.4,28,77.7,38076.8,,,39165.9,,
Certain infectious and parasitic diseases,Tuberculosis,Number of total deaths,Finland,129,78.2,138372,97,78.3,144404.8,148566.4,97,78.5,151089.7,82,79,162806,68,79.1,167840.5,77,79.5,181069,60,79.6,199323.1,56,79.9,212373.3,60,80.1,202176.2,54,80.2,208164.1,48,80.6,219213.9,61,80.7,219916.5,49,81.1,224594.3,31,81.3,226716.9,40,81.6,231648.5,,,236844,,
Certain infectious and parasitic diseases,Tuberculosis,Number of total deaths,France,1090,79.3,1595459.9,1049,79.4,1698365,1770065.4,947,79.3,1758832.6,942,80.3,1829067.8,824,80.4,1933507,850,81,2070453.4,727,81.2,2186192.7,667,81.4,2263191.8,642,81.5,2249679.8,633,81.8,2342745,589,82.3,2447562.9,584,82.1,2471783.2,499,82.3,2606140.9,501,82.8,2658465.9,,82.4,2726977.7,,,2796494.3,,
Certain infectious and parasitic diseases,Tuberculosis,Number of total deaths,Germany,607,78.5,2242492.4,536,78.5,2350369.3,2419132.8,507,78.6,2475052.5,512,79.2,2594276.8,441,79.4,2636421,450,79.8,2822338.6,433,80.1,2997500.1,446,80.2,3122546.2,363,80.3,3036962.8,345,80.5,3210823,350,80.5,3427141.3,342,80.6,3503682.5,356,80.6,3647778,366,81.2,3810887.4,310,80.7,3920864.4,,,4047983.2,,
Certain infectious and parasitic diseases,Tuberculosis,Number of total deaths,Greece,83,79.1,210755.2,105,79.2,228231.4,246559.4,86,79.3,260839,107,79.4,278865.8,75,79.7,281028.3,90,79.9,314476.2,81,79.7,323504.1,96,80.3,341818,80,80.4,337613.7,87,80.7,313653.3,71,80.8,290296.7,67,80.7,279267.2,100,81.4,286168.7,70,81.5,287892.5,52,81.1,285216.2,,,288924.8,,
Certain infectious and parasitic diseases,Tuberculosis,Number of total deaths,Hungary,391,72.5,120933.2,377,72.5,134788.3,147463.9,325,72.6,156173.6,300,73,163724.8,300,73,171624.6,256,73.5,183601.4,188,73.6,190395,220,74.2,206647,194,74.4,206199.7,170,74.7,214666.2,154,75,226649.2,125,75.2,228146,129,75.7,241058.5,98,75.9,251538.8,87,75.7,260212.3,98,,270849.1,,
Certain infectious and parasitic diseases,Tuberculosis,Number of total deaths,Iceland,1,80.8,8295,3,80.6,9010.1,9255.8,3,81,9352.4,6,81.1,10308.7,3,81.6,10968.6,2,81.2,11763.3,2,81.5,12688,5,81.7,13546.4,1,81.8,13078.8,7,82,12216.2,2,82.4,12590.2,1,83,12984.8,1,82.1,13802.4,,82.9,14500.1,,82.5,15776.7,2,,16910.6,,
Certain infectious and parasitic diseases,Tuberculosis,Number of total deaths,Ireland,36,77.2,114746,27,77.7,126101.2,138442.9,27,78.2,144816.9,22,78.6,157505.6,25,79,168246.1,16,79.3,189091.2,21,79.7,205707.9,53,80.2,198727.1,32,80.3,188522.9,36,80.8,197096.6,35,80.8,208138.9,29,80.9,213532.4,27,81.1,222143.8,23,81.4,236705,,81.5,317904,,,334143.8,,
