Disease,DiseaseDetails,Filterm/f,Country,Year2000,Year2001,Year2002,Year2003,Year2004,Year2005,Year2006,Year2007,Year2008,Year2009,Year2010,Year2011,Year2012,Year2013,Year2014,Year2015,Year2016
Certain infectious and parasitic diseases,General,Number of female deaths,Australia,787,801,834,821,835,,926,885,954,852,1025,1158,1172,1359,1319,,
Certain infectious and parasitic diseases,General,Number of female deaths,Austria,140,139,223,287,274,292,283,291,339,341,348,356,335,370,348,,
Certain infectious and parasitic diseases,General,Number of female deaths,Belgium,1107,1240,1316,1527,1469,1399,1288,1224,1277,1402,1427,1303,1327,1547,1334,,
Certain infectious and parasitic diseases,General,Number of female deaths,Canada,1383,1421,1559,1649,1961,2037,2071,2234,2335,2529,2668,2893,3019,,,,
Certain infectious and parasitic diseases,General,Number of female deaths,Chile,789,703,709,682,681,699,691,664,650,727,784,801,910,1060,1099,,
Certain infectious and parasitic diseases,General,Number of female deaths,Czech Republic,118,153,170,140,147,217,225,371,480,596,572,714,840,843,893,1050,
Certain infectious and parasitic diseases,General,Number of female deaths,Denmark,198,205,376,441,440,384,428,465,400,436,510,406,461,545,501,,
Certain infectious and parasitic diseases,General,Number of female deaths,Estonia,41,43,32,44,40,32,42,42,35,52,34,36,37,35,59,,
Certain infectious and parasitic diseases,General,Number of female deaths,Finland,224,186,201,210,190,194,181,241,250,234,236,215,147,157,171,,
Certain infectious and parasitic diseases,General,Number of female deaths,France,5176,5007,5045,5626,4681,4904,4744,4785,5365,5556,5454,5831,6011,5574,,,
Certain infectious and parasitic diseases,General,Number of female deaths,Germany,5058,5299,5425,5745,5845,6307,6693,7597,8040,8434,8199,9145,10248,10123,9637,,
Certain infectious and parasitic diseases,General,Number of female deaths,Greece,241,314,397,367,312,415,409,514,563,609,561,501,570,591,2019,,
Certain infectious and parasitic diseases,General,Number of female deaths,Hungary,243,210,196,181,173,193,158,188,160,246,224,318,501,508,444,508,
Certain infectious and parasitic diseases,General,Number of female deaths,Iceland,12,9,5,10,7,10,9,20,12,6,6,12,15,10,18,12,
Certain infectious and parasitic diseases,General,Number of female deaths,Ireland,106,90,90,77,82,79,73,125,113,130,129,125,107,126,,,
Certain infectious and parasitic diseases,General,Number of female deaths,Israel,604,534,587,551,571,665,715,760,807,787,872,1046,1171,1130,1208,,
Certain infectious and parasitic diseases,General,Number of female deaths,Italy,2009,2062,2352,3463,,,3474,3721,4047,4400,4855,5720,6388,,,,
Certain infectious and parasitic diseases,General,Number of female deaths,Japan,8951,9169,9170,9711,10160,11327,11788,12052,12406,12528,13068,13414,13764,13230,13248,,
Certain infectious and parasitic diseases,General,Number of female deaths,Korea,2239,2056,1994,1829,1811,2116,2084,2052,2284,2592,2924,3026,3228,3120,,,
Certain infectious and parasitic diseases,General,Number of female deaths,Latvia,102,113,99,119,95,93,92,100,112,91,91,90,105,144,105,,
Certain infectious and parasitic diseases,General,Number of female deaths,Luxembourg,20,20,27,44,32,59,55,61,57,64,47,44,48,41,28,,
Certain infectious and parasitic diseases,General,Number of female deaths,Mexico,7287,7250,7327,7354,7006,7288,7022,7039,7258,6588,6603,6767,6939,7119,6454,,
Certain infectious and parasitic diseases,General,Number of female deaths,Netherlands,842,875,910,1019,996,981,1033,978,1086,1054,1094,1154,1139,1655,1633,1818,
